Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
compress,compress_0_trace,334.9084711074829,Pass,598.9296326637268,120000052,26313043,4.5605,11747875,442751,0.4465,0.0168,3.7688%,3.6896,14804752,33.4381,123.3729,60000052,12395610,4.8404,5895554,223507,0.4756,0.0180,3.7911%,3.7251,6913496,30.9319,115.2248
compress,compress_1_trace,108.6102991104126,Pass,191.11080598831177,30778699,6586464,4.6730,3314657,55167,0.5033,0.0084,1.6643%,1.7924,1405544,25.4780,45.6661,15778699,3028618,5.2099,1700956,30537,0.5616,0.0101,1.7953%,1.9353,682679,22.3558,43.2659
compress,compress_2_trace,111.43396472930908,Pass,196.2630271911621,32339109,6673714,4.8457,3601347,51174,0.5396,0.0077,1.4210%,1.5824,1356528,26.5081,41.9470,16339109,3041639,5.3718,1821008,28413,0.5987,0.0093,1.5603%,1.7390,663219,23.3421,40.5909
compress,compress_3_trace,334.29114055633545,Pass,616.494131565094,130000020,61947705,2.0985,15702832,1176343,0.2535,0.0190,7.4913%,9.0488,50153876,42.6354,385.7990,65000020,27335061,2.3779,7896218,553489,0.2889,0.0202,7.0095%,8.5152,21084163,38.0932,324.3716
compress,compress_4_trace,108.21294689178467,Pass,186.94390749931335,31160801,6616506,4.7096,3496423,60434,0.5284,0.0091,1.7285%,1.9394,1561922,25.8451,50.1246,16160801,3030201,5.3332,1816226,28899,0.5994,0.0095,1.5912%,1.7882,710242,24.5767,43.9484
compress,compress_5_trace,111.82196044921875,Pass,200.39912390708923,33811883,7029768,4.8098,3890650,68885,0.5535,0.0098,1.7705%,2.0373,1787547,25.9497,52.8674,17811883,3257341,5.4682,2056891,32322,0.6315,0.0099,1.5714%,1.8146,821725,25.4231,46.1335
compress,compress_6_trace,111.95520496368408,Pass,204.9424216747284,33826271,7043751,4.8023,3887104,67957,0.5519,0.0096,1.7483%,2.0090,1755469,25.8321,51.8966,17826271,3261800,5.4652,2060235,31945,0.6316,0.0098,1.5506%,1.7920,805541,25.2165,45.1884
compress,compress_7_trace,399.4104585647583,Pass,703.5209057331085,130000052,24314545,5.3466,15042451,292940,0.6187,0.0120,1.9474%,2.2534,7170528,24.4778,55.1579,65000052,12414051,5.2360,7447474,176864,0.5999,0.0142,2.3748%,2.7210,4038702,22.8351,62.1338
fp,fp_0_trace,64.73471260070801,Pass,154.7383360862732,30000052,6893814,4.3517,1619852,106635,0.2350,0.0155,6.5830%,3.5545,3309447,31.0353,110.3147,15000052,3473054,4.3190,807780,54678,0.2326,0.0157,6.7689%,3.6452,1692058,30.9459,112.8035
fp,fp_10_trace,270.7881956100464,Pass,324.5465407371521,40000016,7346383,5.4449,3492402,113225,0.4754,0.0154,3.2420%,2.8306,2340248,20.6690,58.5062,20000016,3619029,5.5263,1748758,55365,0.4832,0.0153,3.1660%,2.7682,1142755,20.6404,57.1377
